num_trees,points_per_class,connectivity,neighborhood_size,kappa_multi,overall_multi,pa_water_multi,ua_water_multi,kappa_binary,overall_binary,pa_water_binary,ua_water_binary
10,50,4,128,0.8,84,90.0,86.0,0.76,88.0,83.49,93.81
10,50,4,256,0.78,82,88.0,94.0,0.72,86.0,76.15,97.65
10,50,8,128,0.77,81,79.0,99.0,0.79,89.5,80.73,100.0
10,50,8,256,0.76,80,80.0,97.0,0.77,88.5,79.82,98.86
10,100,4,128,0.8,84,90.0,86.0,0.82,91.01,91.3,90.32
10,100,4,256,0.78,82,88.0,94.0,0.88,94.18,93.48,94.51
10,100,8,128,0.77,81,79.0,99.0,0.78,88.89,86.96,89.89
10,100,8,256,0.76,80,80.0,97.0,0.88,94.18,93.48,94.51
10,150,4,128,0.8,84,90.0,86.0,0.85,92.82,85.37,97.22
10,150,4,256,0.78,82,88.0,94.0,0.88,94.36,90.24,96.1
10,150,8,128,0.77,81,79.0,99.0,0.79,89.74,82.93,91.89
10,150,8,256,0.76,80,80.0,97.0,0.88,94.36,86.59,100.0
10,200,4,128,0.81,84,89.0,93.0,0.87,93.78,86.96,100.0
10,200,4,256,0.74,79,92.0,92.0,0.91,95.34,91.3,98.82
10,200,8,128,0.74,79,92.0,92.0,0.8,90.16,80.43,98.67
10,200,8,256,0.73,78,89.0,84.0,0.9,94.82,90.22,98.81
10,250,4,128,0.83,86,89.0,99.0,0.91,95.31,92.86,97.85
10,250,4,256,0.81,84,89.0,95.0,0.92,95.83,93.88,97.87
10,250,8,128,0.76,80,93.0,79.0,0.89,94.27,91.84,96.77
10,250,8,256,0.79,83,92.0,92.0,0.94,96.88,95.92,97.92
10,300,4,128,0.81,84,87.0,91.0,0.87,93.4,85.71,100.0
10,300,4,256,0.83,86,90.0,96.0,0.9,94.92,89.01,100.0
10,300,8,128,0.78,82,89.0,84.0,0.8,90.36,80.22,98.65
10,300,8,256,0.76,80,88.0,86.0,0.88,93.91,86.81,100.0
10,350,4,128,0.83,86,93.0,93.0,0.58,96.0,96.88,98.94
10,350,4,256,0.79,83,96.0,84.0,0.65,97.0,97.92,98.95
10,350,8,128,0.78,82,94.0,84.0,0.71,97.0,96.88,100.0
10,350,8,256,0.78,82,91.0,92.0,0.59,95.0,94.79,100.0
10,400,4,128,0.83,86,93.0,91.0,0.58,96.0,96.88,98.94
10,400,4,256,0.79,82,91.0,92.0,0.65,97.0,97.92,98.95
10,400,8,128,0.79,82,90.0,88.0,0.71,97.0,96.88,100.0
10,400,8,256,0.81,84,94.0,90.0,0.59,95.0,94.79,100.0
50,50,4,128,0.77,81,91.0,88.0,0.76,88.0,83.49,93.81
50,50,4,256,0.79,82,89.0,87.0,0.72,86.0,76.15,97.65
50,50,8,128,0.8,83,87.0,100.0,0.79,89.5,80.73,100.0
50,50,8,256,0.77,81,84.0,100.0,0.77,88.5,79.82,98.86
50,100,4,128,0.77,81,91.0,88.0,0.8,90.0,85.0,91.67
50,100,4,256,0.79,82,89.0,87.0,0.79,91.0,81.0,95.96
50,100,8,128,0.8,83,87.0,100.0,0.82,90.0,85.0,94.85
50,100,8,256,0.77,81,84.0,100.0,0.81,92.0,83.0,96.91
50,150,4,128,0.77,81,91.0,88.0,0.94,92.5,91.43,100.0
50,150,4,256,0.79,82,89.0,87.0,0.96,98.59,94.29,100.0
50,150,8,128,0.8,83,87.0,100.0,0.94,97.89,91.43,100.0
50,150,8,256,0.77,81,84.0,100.0,0.92,97.18,88.57,100.0
50,200,4,128,0.77,83,92.0,95.0,0.89,94.79,89.41,98.7
50,200,4,256,0.65,84,93.0,88.0,0.93,96.35,92.94,98.75
50,200,8,128,0.58,65,93.0,89.0,0.92,95.83,92.94,97.53
50,200,8,256,0.6,67,93.0,86.0,0.95,97.4,95.29,98.78
50,250,4,128,0.83,86,91.0,100.0,0.89,94.27,89.8,98.88
50,250,4,256,0.81,84,92.0,98.0,0.93,96.35,94.9,97.89
50,250,8,128,0.78,82,95.0,83.0,0.94,96.88,95.92,97.92
50,250,8,256,0.8,84,93.0,93.0,0.96,97.92,96.94,98.96
50,300,4,128,0.82,85,88.0,90.0,0.76,88.14,75.27,100.0
50,300,4,256,0.85,87,89.0,98.0,0.87,93.3,86.02,100.0
50,300,8,128,0.82,85,88.0,90.0,0.89,94.33,88.17,100.0
