RF,Points,PA Water,UA Water,Kappa hat Water,Overall accuracy (%),Kappa hat classification
10,50,70.8,84.2,0.74,72.7,0.65
50,50,82.8,86.4,0.75,74.7,0.7
100,50,84,88.7,0.75,76.1,0.72
500,50,80.7,92,0.87,80.1,0.74
1000,50,90,98.9,0.98,84.3,0.8
10,100,95.5,87.8,0.8,84.7,0.8
50,100,87.2,89.5,0.83,81.3,0.75
100,100,90.3,92,0.88,87.4,0.83
500,100,87.1,94.3,0.9,83.3,0.78
1000,100,88.5,96.9,0.95,81.5,0.78
10,150,97.8,82.5,0.73,85,0.8
50,150,98.3,88.5,0.82,87.8,0.84
100,150,98.4,94.4,0.91,88.9,0.85
500,150,98.7,91.5,0.89,89,0.87
1000,150,97.6,87.5,0.8,85,0.8
10,200,97,89.9,0.84,88.6,0.85
50,200,98.3,88.8,0.82,86.5,0.82
100,200,98.6,88.1,0.81,90.8,0.88
500,200,98.2,93,0.88,92.9,0.9
1000,200,98.4,94,0.9,92.8,0.9
10,250,96.7,98,0.97,92.4,0.9
50,250,97.1,100,1,94.9,0.93
100,250,97.3,100,1,94,0.93
500,250,98.5,99,0.98,94.5,0.93
1000,250,99.2,100,1,95.4,0.94
10,300,98,90.8,0.98,91.2,0.88
50,300,98,91.9,0.87,90.5,0.87
100,300,99.2,92.8,0.88,90,0.87
500,300,98.7,92.8,0.88,90.1,0.87
1000,300,98.6,93.9,0.9,89,0.85
10,350,98.7,96,0.93,92.8,0.9
50,350,98.1,97.9,0.96,90.9,0.88
100,350,98.2,91.8,0.86,88.1,0.84
500,350,98.5,95,0.92,92.8,0.9
1000,350,99.1,98,0.97,92.7,0.9
10,400,98.4,89.6,0.83,88.1,0.84
50,400,98.1,92.9,0.88,90,0.87
100,400,96.2,94.8,0.9,88.2,0.85
500,400,97.7,100,1,92.4,0.9
1000,400,99.3,99,0.98,93.8,0.91
