RF,Points,PA Water,UA Water,Kappa hat Water,PA Non-Water,UA Non-Water,Kappa hat Non-Water,Overall accuracy (%),Kappa hat classification
10,50,93.2,91.1,0.84,91.2,93.7,0.87,87.7,0.78
50,50,82.3,83.7,0.67,83.6,82.6,0.66,83.2,0.69
100,50,89.9,78.6,0.6,79.2,90.2,0.79,84.1,0.68
500,50,91.2,82.6,0.66,81.4,91.1,0.82,86.4,0.73
1000,50,89.9,100,0.8,100,88.9,0.8,94.4,0.79
10,100,87.9,95,0.88,94.4,87.6,0.76,90.9,0.82
50,100,89,94,0.86,91,86.3,0.74,89.1,0.77
100,100,87.4,100,1,100,90.8,0.85,84.7,0.79
500,100,84.3,95,0.93,96.6,89,0.82,90.1,0.82
1000,100,89.6,96.9,0.96,98,93.1,0.88,94.5,0.91
10,150,96.7,82.5,0.77,88.4,98,0.96,92.6,0.87
50,150,95.3,86.3,0.81,90.7,96.9,0.95,93.2,0.88
100,150,92.4,89.9,0.86,92.9,94.6,0.91,92.6,0.88
500,150,98.4,87.5,0.83,91.6,98.9,0.98,95,0.91
1000,150,95.3,87.2,0.83,91.3,96.9,0.95,93.3,0.89
10,200,95.2,89.9,0.86,93.1,96.8,0.94,94.1,0.9
50,200,100,88.5,0.85,92.4,100,1,96.2,0.92
100,200,95.2,89,0.85,92.5,96.8,0.94,93.8,0.9
500,200,100,93,0.9,95.2,100,1,97.6,0.95
1000,200,98.4,93.9,0.92,95.8,98.9,0.98,97.1,0.95
10,250,100,98,0.97,98.6,100,1,99.3,0.99
50,250,100,99,0.99,99.3,100,1,99.6,0.99
100,250,95.7,99,0.99,99.3,96.8,0.95,97.5,0.97
500,250,100,99,0.99,99.3,100,1,99.7,0.99
1000,250,95.6,100,1,100,96.7,0.95,97.8,0.97
10,300,100,91.9,0.89,94.4,100,1,96,0.94
50,300,98,92.5,0.9,95.7,99.3,0.99,95.9,0.94
100,300,94.4,92.6,0.9,94.7,96,0.93,93.5,0.92
500,300,94.3,93.7,0.91,95.4,95.9,0.93,94.6,0.92
1000,300,97,93.8,0.91,95.6,97.9,0.95,96.3,0.94
10,350,98.6,95.9,0.94,97,99,0.98,97.8,0.96
50,350,97.4,98.9,0.98,99.2,98.1,0.97,98.3,0.98
100,350,95.5,92.6,0.9,94.8,96.8,0.95,95.1,0.92
500,350,98.5,96,0.94,97.1,98.9,0.98,97.8,0.96
1000,350,98.6,97.9,0.97,98.5,99,0.98,98.6,0.98
10,400,95.5,89.6,0.86,92.7,96.9,0.95,94.1,0.9
50,400,96.3,90.7,0.89,93.6,97.2,0.96,95.5,0.92
100,400,96.9,91.4,0.9,94.2,97.9,0.96,96,0.93
500,400,95.8,100,1,100,96.8,0.95,97.9,0.97
1000,400,100,99,0.99,99.3,100,1,99,0.98
