system:index,B10,B2,B3,B4,B5,B6,B7,Hillshade,MNDWI,NDVI,id,slope,.geo,Class,Sensor,B10_normalized
0_0,289.51324,0.13126345,0.110185616,0.09813271,0.08676966,0.08231117,0.066461645,191,0.14480475,-0.061454292,1372352516,0.9177683,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20293257769015,-43.63474777978368]}",BareSurface,LT04,0.6154497143596553
1_0,292.5778,0.13692366,0.12247239,0.10908639,0.0936353,0.096013665,0.07287528,187,0.12110029,-0.07621823,1705928158,1.6098777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.19875222209043,-43.64147158362139]}",BareSurface,LT04,0.6805638568235083
2_0,289.95605,0.1439989,0.12247239,0.10908639,0.08676966,0.09144616,0.07287528,192,0.14503758,-0.11394452,-1380019007,0.3707029,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.21611337354585,-43.59351020991432]}",BareSurface,LT04,0.6248583059435757
3_0,289.95605,0.1383387,0.12247239,0.10360955,0.0936353,0.10514866,0.08249573,182,0.07610778,-0.050567854,-1661489977,3.4838524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.33875436185025,-43.59401524950129]}",BareSurface,LT04,0.6248583059435757
4_0,289.0687,0.1524892,0.13475917,0.12277848,0.10050094,0.10514866,0.085702546,179,0.123424545,-0.09977427,-229918050,6.075177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.4575175692895,-43.48848082092252]}",BareSurface,LT04,0.6060043646550054
5_0,290.39716,0.14682901,0.12554409,0.12004007,0.097068116,0.10058116,0.079288915,170,0.11039424,-0.10580877,1564757169,7.4920473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1893053926271,-43.65247992568196]}",BareSurface,LT04,0.634230776830825
6_0,295.98468,0.1411688,0.12247239,0.1118248,0.0936353,0.1074324,0.085702546,217,0.06541833,-0.08853059,1096771070,15.643298,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.20978228373806,-43.65127271538523]}",BareSurface,LT04,0.7529514327486816
7_0,289.95605,0.122773156,0.10097054,0.08717903,0.073038384,0.07089242,0.053634383,169,0.17501219,-0.08825909,1555488802,7.8794527,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1180597854993,-43.66545842618129]}",BareSurface,LT04,0.6248583059435757
8_0,293.43875,0.13267851,0.11325731,0.09813271,0.08676966,0.1074324,0.08249573,213,0.02639411,-0.061454292,1496294920,7.416173,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.0829034053696,-43.701647780603814]}",BareSurface,LT04,0.6988568649402538
9_0,293.86685,0.14541395,0.12554409,0.12004007,0.10393376,0.08916242,0.07287528,241,0.16944838,-0.07191156,1561617467,36.602116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.0690999337555,-43.70342701465995]}",BareSurface,LT04,0.7079529062606305
