num_trees,points_per_class,connectivity,neighborhood_size,kappa_multi,overall_multi,pa_water_multi,ua_water_multi,kappa_water_multi,kappa_binary,overall_binary,pa_water_binary,ua_water_binary,kappa_water_binary
10,50,4,128,0.8,84,90.0,86.0,0.83,0.76,88.0,83.3,83.7,0.82
10,50,4,256,0.78,82,88.0,94.0,0.81,0.72,86.0,76.0,76.3,0.78
10,50,8,128,0.77,81,79.0,99.0,0.8,0.79,89.5,80.7,80.8,0.84
10,50,8,256,0.76,80,80.0,97.0,0.79,0.77,88.5,79.9,79.7,0.82
10,100,4,128,0.8,84,90.0,86.0,0.83,0.82,91.0,91.5,91.1,0.87
10,100,4,256,0.78,82,88.0,94.0,0.81,0.88,94.2,93.2,93.7,0.92
10,100,8,128,0.77,81,79.0,99.0,0.8,0.78,88.9,86.8,87.1,0.83
10,100,8,256,0.76,80,80.0,97.0,0.79,0.88,94.2,93.5,93.6,0.92
10,150,4,128,0.8,84,90.0,86.0,0.83,0.85,92.8,85.5,85.3,0.89
10,150,4,256,0.78,82,88.0,94.0,0.81,0.88,94.4,90.5,90.1,0.92
10,150,8,128,0.77,81,79.0,99.0,0.8,0.79,89.7,82.7,83.1,0.84
10,150,8,256,0.76,80,80.0,97.0,0.79,0.88,94.4,86.5,86.7,0.92
10,200,4,128,0.81,84,89.0,93.0,0.84,0.87,93.8,87.0,87.0,0.91
10,200,4,256,0.74,79,92.0,92.0,0.78,0.91,95.3,91.4,91.2,0.94
10,200,8,128,0.74,79,92.0,92.0,0.78,0.8,90.2,80.7,80.2,0.85
10,200,8,256,0.73,78,89.0,84.0,0.77,0.9,94.8,90.0,90.4,0.93
10,250,4,128,0.83,86,89.0,99.0,0.86,0.91,95.3,92.7,93.0,0.94
10,250,4,256,0.81,84,89.0,95.0,0.84,0.92,95.8,93.9,94.0,0.95
10,250,8,128,0.76,80,93.0,79.0,0.79,0.89,94.3,92.0,91.7,0.93
10,250,8,256,0.79,83,92.0,92.0,0.82,0.94,96.9,96.2,95.7,0.97
10,300,4,128,0.81,84,87.0,91.0,0.84,0.87,93.4,85.5,85.9,0.91
10,300,4,256,0.83,86,90.0,96.0,0.86,0.9,94.9,88.9,89.1,0.94
10,300,8,128,0.78,82,89.0,84.0,0.81,0.8,90.4,80.2,80.3,0.85
10,300,8,256,0.76,80,88.0,86.0,0.79,0.88,93.9,86.9,86.7,0.92
10,350,4,128,0.83,86,93.0,93.0,0.86,0.92,96.0,97.1,96.7,0.95
10,350,4,256,0.79,83,96.0,84.0,0.82,0.94,97.0,97.7,98.1,0.97
10,350,8,128,0.78,82,94.0,84.0,0.81,0.94,97.0,96.8,97.0,0.97
10,350,8,256,0.78,82,91.0,92.0,0.81,0.9,95.0,94.8,94.9,0.94
10,400,4,128,0.83,86,93.0,91.0,0.86,0.92,96.0,97.0,96.8,0.95
10,400,4,256,0.79,82,91.0,92.0,0.82,0.94,97.0,98.2,97.7,0.97
10,400,8,128,0.79,82,90.0,88.0,0.82,0.94,97.0,96.6,97.1,0.97
10,400,8,256,0.81,84,94.0,90.0,0.84,0.9,95.0,94.7,94.9,0.94
50,50,4,128,0.77,81,91.0,88.0,0.8,0.76,88.0,83.5,83.6,0.82
50,50,4,256,0.79,82,89.0,87.0,0.82,0.72,86.0,76.3,76.1,0.78
50,50,8,128,0.8,83,87.0,100.0,0.83,0.79,89.5,81.0,80.5,0.84
50,50,8,256,0.77,81,84.0,100.0,0.8,0.77,88.5,79.6,80.0,0.82
50,100,4,128,0.77,81,91.0,88.0,0.8,0.8,90.0,82.9,83.1,0.85
50,100,4,256,0.79,82,89.0,87.0,0.82,0.79,91.0,84.0,84.1,0.85
50,100,8,128,0.8,83,87.0,100.0,0.83,0.82,90.0,83.1,82.9,0.86
50,100,8,256,0.77,81,84.0,100.0,0.8,0.81,92.0,82.2,81.8,0.86
50,150,4,128,0.77,81,91.0,88.0,0.8,0.94,92.5,91.2,91.6,0.96
50,150,4,256,0.79,82,89.0,87.0,0.82,0.96,98.6,94.2,94.4,0.99
50,150,8,128,0.8,83,87.0,100.0,0.83,0.94,97.9,91.4,91.5,0.97
50,150,8,256,0.77,81,84.0,100.0,0.8,0.92,97.2,88.7,88.5,0.96
50,200,4,128,0.77,83,92.0,95.0,0.81,0.89,94.8,89.7,89.2,0.93
50,200,4,256,0.65,84,93.0,88.0,0.73,0.93,96.4,92.7,93.1,0.96
50,200,8,128,0.58,65,93.0,89.0,0.62,0.92,95.8,92.8,93.0,0.95
50,200,8,256,0.6,67,93.0,86.0,0.64,0.95,97.4,95.3,95.4,0.98
50,250,4,128,0.83,86,91.0,100.0,0.86,0.89,94.3,89.9,89.7,0.93
50,250,4,256,0.81,84,92.0,98.0,0.84,0.93,96.4,95.1,94.7,0.96
50,250,8,128,0.78,82,95.0,83.0,0.81,0.94,96.9,95.7,96.1,0.97
50,250,8,256,0.8,84,93.0,93.0,0.83,0.96,97.9,96.8,97.0,0.99
50,300,4,128,0.82,85,88.0,90.0,0.85,0.76,88.1,75.3,75.4,0.82
50,300,4,256,0.85,87,89.0,98.0,0.88,0.87,93.3,86.1,85.9,0.91
50,300,8,128,0.82,85,88.0,90.0,0.85,0.89,94.3,88.4,88.0,0.93
50,300,8,256,0.79,82,88.0,85.0,0.82,0.84,92.3,83.6,84.1,0.89
50,350,4,128,0.79,83,88.0,99.0,0.82,0.99,99.5,98.8,99.0,1.0
50,350,4,256,0.81,84,93.0,92.0,0.84,0.99,99.5,98.9,99.0,1.0
50,350,8,128,0.79,83,93.0,90.0,0.82,0.97,98.5,99.0,98.8,0.99
50,350,8,256,0.78,82,89.0,95.0,0.81,0.99,99.5,99.2,98.7,1.0
50,400,4,128,0.82,85,91.0,96.0,0.85,0.99,99.5,98.7,99.1,1.0
50,400,4,256,0.8,83,91.0,99.0,0.83,0.99,99.5,98.8,99.0,1.0
50,400,8,128,0.8,84,90.0,99.0,0.83,0.97,98.5,98.9,99.0,0.99
50,400,8,256,0.8,83,90.0,99.0,0.83,0.99,99.5,99.0,98.8,1.0
100,50,4,128,0.82,85,92.0,96.0,0.85,0.76,88.0,83.7,83.3,0.82
100,50,4,256,0.81,84,93.0,99.0,0.84,0.72,86.0,75.9,76.3,0.78
100,50,8,128,0.77,81,88.0,97.0,0.8,0.79,89.5,80.6,80.8,0.84
100,50,8,256,0.74,78,87.0,100.0,0.77,0.77,88.5,79.8,79.9,0.82
100,100,4,128,0.82,85,92.0,96.0,0.85,0.88,93.9,88.9,88.7,0.92
100,100,4,256,0.81,84,93.0,99.0,0.84,0.9,94.9,90.9,90.5,0.94
100,100,8,128,0.77,81,88.0,97.0,0.8,0.89,94.4,89.5,89.9,0.93
100,100,8,256,0.74,78,87.0,100.0,0.77,0.88,93.9,88.7,88.9,0.92
100,150,4,128,0.82,85,92.0,96.0,0.85,0.89,94.3,89.4,89.4,0.93
100,150,4,256,0.81,84,93.0,99.0,0.84,0.9,94.9,90.6,90.3,0.94
100,150,8,128,0.77,81,88.0,97.0,0.8,0.93,96.4,94.9,94.5,0.96
100,150,8,256,0.74,78,87.0,100.0,0.77,0.9,94.9,90.2,90.6,0.94
100,200,4,128,0.85,88,97.0,96.0,0.88,0.88,93.8,86.8,87.1,0.92
100,200,4,256,0.83,86,98.0,93.0,0.86,0.89,94.3,88.0,88.1,0.93
100,200,8,128,0.85,88,99.0,99.0,0.88,0.9,94.9,89.3,89.0,0.94
100,200,8,256,0.81,85,99.0,92.0,0.84,0.92,95.9,91.5,91.1,0.95
100,250,4,128,0.9,89,94.0,100.0,0.92,0.93,96.4,93.6,94.1,0.96
100,250,4,256,0.81,84,92.0,99.0,0.84,0.93,96.4,94.8,95.0,0.96
100,250,8,128,0.79,82,94.0,85.0,0.82,0.95,97.4,96.9,97.0,0.98
100,250,8,256,0.81,84,92.0,96.0,0.84,0.96,97.9,97.1,96.8,0.99
100,300,4,128,0.83,86,89.0,93.0,0.86,0.83,91.8,82.9,82.4,0.88
100,300,4,256,0.85,88,89.0,99.0,0.88,0.85,92.8,84.5,85.0,0.89
100,300,8,128,0.81,84,88.0,95.0,0.84,0.87,93.3,86.8,87.1,0.91
100,300,8,256,0.79,82,89.0,83.0,0.82,0.87,93.3,85.9,86.0,0.91
100,350,4,128,0.84,86,92.0,96.0,0.87,0.92,95.8,95.7,95.5,0.95
100,350,4,256,0.81,85,94.0,97.0,0.84,0.95,97.4,96.9,96.5,0.98
100,350,8,128,0.78,82,93.0,82.0,0.81,0.88,94.2,95.4,95.8,0.92
100,350,8,256,0.78,82,91.0,91.0,0.81,0.88,94.2,93.3,93.5,0.92
100,400,4,128,0.82,85,93.0,95.0,0.85,0.92,95.8,95.6,95.7,0.95
100,400,4,256,0.81,84,92.0,98.0,0.84,0.95,97.4,96.8,96.6,0.98
100,400,8,128,0.8,83,89.0,98.0,0.83,0.88,94.2,95.8,95.4,0.92
100,400,8,256,0.79,83,92.0,95.0,0.82,0.88,94.2,93.2,93.6,0.92
500,50,4,128,0.79,83,92.0,92.0,0.82,0.76,88.0,83.4,83.6,0.82
500,50,4,256,0.79,82,90.0,98.0,0.82,0.72,86.0,76.2,76.2,0.78
500,50,8,128,0.78,82,88.0,97.0,0.81,0.79,89.5,80.9,80.6,0.84
500,50,8,256,0.74,78,86.0,99.0,0.77,0.77,88.5,80.1,79.6,0.82
500,100,4,128,0.79,83,92.0,92.0,0.82,0.85,92.6,91.1,91.5,0.89
500,100,4,256,0.79,82,90.0,98.0,0.82,0.87,93.7,93.4,93.6,0.91
500,100,8,128,0.78,82,88.0,97.0,0.81,0.86,93.1,93.5,93.6,0.9
500,100,8,256,0.74,78,86.0,99.0,0.77,0.89,94.7,94.7,94.5,0.93
500,150,4,128,0.79,83,92.0,92.0,0.82,0.83,91.7,86.3,85.9,0.88
500,150,4,256,0.79,82,90.0,98.0,0.82,0.9,95.3,90.5,90.9,0.94
500,150,8,128,0.78,82,88.0,97.0,0.81,0.86,93.2,90.6,90.8,0.9
500,150,8,256,0.78,84,86.0,99.0,0.82,0.93,96.4,93.0,93.1,0.96
500,200,4,128,0.83,86,89.0,96.0,0.86,0.93,96.4,94.7,94.5,0.96
500,200,4,256,0.85,87,93.0,96.0,0.88,0.95,97.4,95.9,95.5,0.98
500,200,8,128,0.81,84,89.0,90.0,0.84,0.97,98.5,97.6,98.0,0.99
500,200,8,256,0.81,84,93.0,87.0,0.84,0.95,97.4,95.6,95.8,0.98
500,250,4,128,0.82,87,92.0,100.0,0.86,0.8,89.8,81.8,81.9,0.85
500,250,4,256,0.83,86,92.0,100.0,0.86,0.88,93.9,89.0,88.8,0.92
500,250,8,128,0.82,85,92.0,100.0,0.85,0.87,93.4,89.1,88.7,0.91
500,250,8,256,0.81,84,93.0,96.0,0.84,0.88,93.9,88.7,89.1,0.92
500,300,4,128,0.86,89,96.0,95.0,0.89,0.82,92.5,76.2,76.4,0.87
500,300,4,256,0.85,88,91.0,100.0,0.88,0.89,95.6,86.0,86.1,0.93
500,300,8,128,0.83,86,92.0,97.0,0.86,0.89,95.2,85.1,84.9,0.93
500,300,8,256,0.81,84,94.0,88.0,0.84,0.87,94.6,83.0,82.6,0.91
500,350,4,128,0.84,87,94.0,100.0,0.87,0.98,99.0,97.7,98.1,1.0
500,350,4,256,0.81,84,95.0,96.0,0.84,0.99,99.5,98.9,99.1,1.0
500,350,8,128,0.8,83,93.0,93.0,0.83,0.94,96.9,96.9,97.0,0.97
500,350,8,256,0.8,84,93.0,96.0,0.83,0.97,98.5,97.0,96.8,0.99
500,400,4,128,0.85,88,93.0,100.0,0.88,0.98,99.0,98.2,97.8,1.0
500,400,4,256,0.83,86,92.0,100.0,0.86,0.99,99.5,98.7,99.2,1.0
500,400,8,128,0.83,86,92.0,100.0,0.86,0.94,96.9,96.8,97.0,0.97
500,400,8,256,0.85,87,93.0,100.0,0.88,0.97,98.5,96.9,97.0,0.99
1000,50,4,128,0.76,81,91.0,89.0,0.8,0.75,87.5,82.7,82.5,0.81
1000,50,4,256,0.77,81,88.0,96.0,0.8,0.72,86.0,76.4,76.0,0.78
1000,50,8,128,0.78,82,87.0,97.0,0.81,0.79,89.5,80.5,80.9,0.84
1000,50,8,256,0.74,78,86.0,98.0,0.77,0.72,86.0,76.0,76.3,0.78
1000,100,4,128,0.76,81,91.0,89.0,0.8,0.89,94.4,91.0,91.1,0.93
1000,100,4,256,0.77,81,88.0,96.0,0.8,0.91,95.4,92.1,91.9,0.94
1000,100,8,128,0.78,82,87.0,97.0,0.81,0.93,96.5,94.2,93.8,0.96
1000,100,8,256,0.74,78,86.0,98.0,0.77,0.92,95.9,92.8,93.2,0.95
1000,150,4,128,0.76,81,91.0,89.0,0.8,0.83,91.7,85.9,86.2,0.88
1000,150,4,256,0.77,81,88.0,96.0,0.8,0.92,95.8,91.9,91.9,0.95
1000,150,8,128,0.78,82,87.0,97.0,0.81,0.88,94.3,92.0,91.8,0.92
1000,150,8,256,0.74,78,86.0,98.0,0.77,0.93,96.4,93.3,92.8,0.96
1000,200,4,128,0.84,87,91.0,93.0,0.87,0.91,95.4,91.3,91.7,0.94
1000,200,4,256,0.82,85,90.0,91.0,0.85,0.92,95.9,92.4,92.7,0.95
1000,200,8,128,0.84,87,91.0,93.0,0.87,0.93,96.4,92.6,92.6,0.96
1000,200,8,256,0.81,84,93.0,87.0,0.84,0.9,94.9,89.5,89.3,0.94
1000,250,4,128,0.82,88,92.0,100.0,0.86,0.82,91.2,84.7,84.3,0.87
1000,250,4,256,0.83,86,93.0,100.0,0.86,0.88,93.8,88.1,88.5,0.92
1000,250,8,128,0.8,83,96.0,84.0,0.83,0.83,91.7,85.3,85.5,0.88
1000,250,8,256,0.81,84,92.0,96.0,0.84,0.87,93.2,87.4,87.5,0.91
1000,300,4,128,0.83,86,91.0,92.0,0.86,0.87,93.3,86.1,85.9,0.91
1000,300,4,256,0.84,87,89.0,100.0,0.87,0.9,94.9,89.5,89.1,0.94
1000,300,8,128,0.82,85,93.0,97.0,0.85,0.91,95.4,90.1,90.5,0.94
1000,300,8,256,0.79,83,91.0,87.0,0.82,0.92,95.9,91.3,91.5,0.95
1000,350,4,128,0.83,86,91.0,99.0,0.86,0.94,97.0,94.8,94.9,0.97
1000,350,4,256,0.82,85,90.0,97.0,0.85,0.96,98.0,96.0,95.7,0.99
1000,350,8,128,0.8,83,95.0,88.0,0.83,0.94,96.9,97.2,96.7,0.97
1000,350,8,256,0.8,83,92.0,92.0,0.83,0.94,97.0,95.6,96.0,0.97
1000,400,4,128,0.85,87,93.0,100.0,0.88,0.94,97.0,94.7,94.9,0.97
1000,400,4,256,0.87,88,97.0,100.0,0.89,0.96,98.0,95.8,95.9,0.99
1000,400,8,128,0.86,88,95.0,100.0,0.89,0.94,96.9,97.0,96.8,0.97
1000,400,8,256,0.86,88,99.0,98.0,0.89,0.94,97.0,96.1,95.6,0.97
